Anterior Commissure,"0  -1  -1","<img src='Anterior_Commissure.axi.jpg'/>","<img src='Anterior_Commissure.sag.jpg'/>","<img src='Anterior_Commissure.cor.jpg'/>","https://en.wikipedia.org/wiki/Anterior_commissure","The anterior commissure (also known as the precommissure) is a white matter tract (a bundle of axons) connecting the two temporal lobes of the cerebral hemispheres across the midline, and placed in front of the columns of the fornix. The great majority of fibers connecting the two hemispheres travel through the corpus callosum, which is over 10 times larger than the anterior commissure, and other routes of communication pass through the hippocampal commissure or, indirectly, via subcortical connections.  Nevertheless, the anterior commissure is a significant pathway that can be clearly distinguished in the brains of all mammals.

The anterior commissure plays a key role in pain sensation, more specifically sharp, acute pain.  It also contains decussating fibers from the olfactory tracts, vital for the sense of smell and chemoreception.  The anterior commissure works with the posterior commissure to link the two cerebral hemispheres of the brain and also interconnects the amygdalae and temporal lobes, contributing to the role of memory, emotion, speech and hearing.  It also is involved in olfaction, instinct, and sexual behavior.

In a sagittal section, the anterior commissure is oval in shape, having a long vertical axis that measures about 5 mm."
Corpus Callosum,"0  7  21","<img src='Corpus_Callosum.axi.jpg'/>","<img src='Corpus_Callosum.sag.jpg'/>","<img src='Corpus_Callosum.cor.jpg'/>","https://en.wikipedia.org/wiki/Corpus_callosum","The corpus callosum (Latin for \"tough body\"), also callosal commissure, is a wide, thick, nerve tract consisting of a flat bundle of commissural fibers, beneath the cerebral cortex in the brain. The corpus callosum is only found in placental mammals.  It spans part of the longitudinal fissure, connects the left and right cerebral hemispheres, and enables communication between the hemispheres. It is the largest white matter structure in the human brain, about ten centimetres in length and consisting of 200–300 million axonal projections.A number of separate nerve tracts, classed as subregions, of the corpus callosum connect different parts of the hemispheres. The main ones are known as the genu, the rostrum, the trunk or body, and the splenium."
Posterior Commissure,"0  23  0","<img src='Posterior_Commissure.axi.jpg'/>","<img src='Posterior_Commissure.sag.jpg'/>","<img src='Posterior_Commissure.cor.jpg'/>","https://en.wikipedia.org/wiki/Posterior_commissure","The posterior commissure (also known as the epithalamic commissure) is a rounded band of white fibers crossing the middle line on the dorsal aspect of the upper end of the cerebral aqueduct. It is important in the bilateral pupillary light reflex.

Its fibers acquire their medullary sheaths early, but their connections have not been definitively determined. Most of them have their origin in a nucleus, the nucleus of the posterior commissure (nucleus of Darkschewitsch), which lies in the central gray substance of the upper end of the cerebral aqueduct, in front of the oculomotor nucleus. Some are probably derived from the posterior part of the thalamus and from the superior colliculus, whereas others are believed to be continued downward into the medial longitudinal fasciculus.

The posterior commissure interconnects the pretectal nuclei, mediating the consensual pupillary light reflex."
Amygdala,"-23.6051  4.80732  -14.9259","<img src='Right_Amygdala.axi.jpg'/>","<img src='Right_Amygdala.sag.jpg'/>","<img src='Right_Amygdala.cor.jpg'/>","https://en.wikipedia.org/wiki/Amygdala","The amygdala (; plural: amygdalae; also corpus amygdaloideum; Latin from Greek, ἀμυγδαλή, amygdalē, 'Almond', 'tonsil') is one of two almond-shaped groups of nuclei located deep and medially within the temporal lobes of the brain in complex vertebrates, including humans. Shown in research to perform a primary role in the processing of memory, decision-making and emotional responses (including fear, anxiety, and aggression), the amygdalae are considered part of the limbic system."
Angular Gyrus,"-45.7002  63.8609  33.2765","<img src='Right_Angular_Gyrus.axi.jpg'/>","<img src='Right_Angular_Gyrus.sag.jpg'/>","<img src='Right_Angular_Gyrus.cor.jpg'/>","https://en.wikipedia.org/wiki/Angular_gyrus","The angular gyrus is a region of the brain lying mainly in the anterolateral region of parietal lobe, that lies near the superior edge of the temporal lobe, and immediately posterior to the supramarginal gyrus. Its significance is in transferring visual information to Wernicke's area, in order to make meaning out of visually perceived words. It is also involved in a number of processes related to language, number processing and spatial cognition, memory retrieval, attention, and theory of mind.  It is Brodmann area 39 of the human brain."
Anterior Cingulate,"-8.34495  -31.7546  6.98958","<img src='Right_Anterior_Cingulate.axi.jpg'/>","<img src='Right_Anterior_Cingulate.sag.jpg'/>","<img src='Right_Anterior_Cingulate.cor.jpg'/>","https://en.wikipedia.org/wiki/Anterior_cingulate_cortex","Redirected from %s to %s

Anterior cingulateAnterior cingulate cortexThe anterior cingulate cortex (ACC) is the frontal part of the cingulate cortex that resembles a \"collar\" surrounding the frontal part of the corpus callosum. It consists of Brodmann areas 24, 32, and 33.

It appears to play a role in a wide variety of autonomic functions, such as regulating blood pressure and heart rate.It is also involved in certain higher-level functions, such as attention allocation, reward anticipation, decision-making, ethics and morality, impulse control (e.g. performance monitoring and error detection), and emotion."
Anterior Nucleus,"-7.77273  7.95834  12.5758","<img src='Right_Anterior_Nucleus.axi.jpg'/>","<img src='Right_Anterior_Nucleus.sag.jpg'/>","<img src='Right_Anterior_Nucleus.cor.jpg'/>","https://en.wikipedia.org/wiki/Anterior_nuclei_of_thalamus","The anterior nuclei of thalamus (or anterior nuclear group) are a collection of nuclei at the rostral end of the dorsal thalamus. They comprise the anteromedial, anterodorsal, and anteroventral nuclei."
Caudate Body,"-12.1449  -6.08066  13.8453","<img src='Right_Caudate_Body.axi.jpg'/>","<img src='Right_Caudate_Body.sag.jpg'/>","<img src='Right_Caudate_Body.cor.jpg'/>","","Create it on: https://en.wikipedia.org/wiki/Caudate_body"
